title,filename,series
23 Iron Man,23-IronMan-150x150.jpg,Marvel
24 War Machine,24-WarMachine-150x150.jpg,Marvel
25 Iron Patriot,25-IronPatriot-150x150.jpg,Marvel
25 Metallic Iron Patriot (Hot Topic),25-IronPatriotMetallic-150x150.jpg,Marvel
26 Deep Space Suit,26-DeepSpaceSuit-150x150.jpg,Marvel
27 Phoenix (ECCC 2013),27-Phoenix-150x150.jpg,Marvel
28 Logan,28-Logan-150x150.png,Marvel
29 Unmasked Deadpool (Previews Exclusive),29-DeadpoolPXPreviews-150x150.jpg,Marvel
29 Unmasked X-Force Deadpool (Previews Exclusive),29-DeadpoolPreviewsXForce-150x150.jpg,Marvel
30 White Phoenix (Conquest Comics),30-WhitePhoenix-150x150.jpg,Marvel
30 Glow in the Dark White Phoenix (Conquest Comics),30-WhitePhoenixGlow-150x150.jpg,Marvel
31 Red Hulk,31-RedHulk-150x150.jpg,Marvel
31 Metallic Red Hulk (SDCC 2013),12224340495_2d996c1bd2_b-150x150.jpg,Marvel
32 Tony Stark (SDCC 2013),32-TonyStark-150x150.jpg,Marvel
33 James Rhodes (SDCC 2013),33-JamesRhodes-150x150.jpg,Marvel
34 Peter Parker (Comikaze Exclusive),12488489044_fd1d6dfb7a_b-150x150.jpg,Marvel
35 Thor,35-Thor-150x150.jpg,Marvel
35 B&W Thor (Gemini Collectibles),12226852393_7fcdc04f79_o-150x150.jpg,Marvel
36 Loki,36-Loki-150x150.jpg,Marvel
36 B&W Loki (Fugitive Toys),12227081864_4c2493972a_o-150x150.jpg,Marvel
36 Helmeted Loki,loki-150x150.png,Marvel
36 B&W Helmeted Loki [Hot Topic],bandwhtloki-150x150.jpg,Marvel
36 Frost Giant Loki [Fugitive Toys NYCC 2014],4818_Frost-Giant-Loki_hires-150x150.jpg,Marvel
36 GITD Frost Giant Loki [Fugitive Toys NYCC 2014],4819_Frost-Giant-Loki_GLOW_hires-150x150.jpg,Marvel
37 Dark Elf,37-DarkElf-150x150.jpg,Marvel
38 Thor w/ Helmet (Hot Topic),12257235723_4d8e24063b_b-150x150.jpg,Marvel
39 Compound Hulk (Toy Anxiety),12224928506_7b543ea50f_b-150x150.jpg,Marvel
39 Metallic Compound Hulk (Toy Anxiety),12257507764_4b698286b6_b-150x150.jpg,Marvel
40 Wolverine (Toytastik.com),MAR40-150x150.jpg,Marvel
40 Glow in the Dark Wolverine (Toytasktik.com),MAR40A-150x150.jpg,Marvel
41 Captain America,41-CaptainAmerica-150x150.jpg,Marvel
41 CA2 B&W Capt. America (B&N),bn-capt-america-150x150.jpg,Marvel
41 CA2 GitD Capt America (Hot Topic),gitdcaptainamericahottopic-150x150.jpg,Marvel
41 Unmasked Captain America (ToyMatrix.com),unmaskedcaptainamerica-150x150.jpg,Marvel
42 Black Widow,42-BlackWidow-150x150.jpg,Marvel
43 Winter Soldier (Unmasked),43-WinterSoldier-150x150.jpg,Marvel
44 Winter Soldier,44-WinterSoldier-150x150.jpg,Marvel
45 Spider-Man,45-SpiderMan-150x150.jpg,Marvel
45 Metallic Spider-man [Japan Exclusive],japanspiderman-150x150.jpg,Marvel
46 Electro,46-Electro-150x150.jpg,Marvel
46 'GITD'ù Metallic Electro (Hot Topic),524553_10202301314147889_43426110_n-150x150.jpg,Marvel
47 Star-Lord,StarLord2-150x150.jpg,Marvel
48 Rocket Racoon,RocketRacoon-150x150.jpg,Marvel
48 Flocked Rocket Raccoon [SDCC 2014],flocked-rocky-150x150.jpg,Marvel
48 Ravagers Rocket Raccoon (PX),rocket-150x150.jpg,Marvel
48 Flocked Rocket Raccoon,flockedrocket-150x150.png,Marvel
49 Groot,Groot-150x150.jpg,Marvel
49 GITD Groot [Loot Crate],grootgitd-150x150.jpg,Marvel
49 Extra Mossy Groot,extra-mossy-groot-pop-150x150.png,Marvel
50 Drax,Drax-150x150.jpg,Marvel
51 Gamora,Gamora-150x150.jpg,Marvel
52 Unmasked Star-Lord [Amazon.com],GotG-Pop-Star-Lord-Unmasked-150x150.jpg,Marvel
53 Agent Coulson (Agents of S.H.I.E.L.D),53-Agent-150x150.jpg,Marvel
54 Odin,odin-150x150.png,Marvel
55 Heimdall,heimdall-150x150.png,Marvel
56 Lady Sif,ladysif-150x150.png,Marvel
57 Professor X,professorx-150x150.jpg,Marvel
58 Cyclops,cyclops-150x150.jpg,Marvel
59 Storm,storm-150x150.jpg,Marvel
59 GITD Storm [Comikaze],Screen-Shot-2014-10-01-at-2.12.50-PM-150x150.png,Marvel
59 Black Suit Storm,blacksuitstorm-150x150.jpg,Marvel
60 Colossus,colossus-150x150.jpg,Marvel
61 Mystique,mystique-150x150.jpg,Marvel
62 Magneto,magneto-150x150.jpg,Marvel
62 Metallic Magneto (HOT TOPIC),metallicmag-150x150.jpg,Marvel
64 Howard the Duck,HowardtheDuck-150x150.jpg,Marvel
65 Dancing Groot (GotG),dancing-groot-150x150.jpg,Marvel
